Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist
2019-04-11,147.14894274968228,150.83970642089844,146.38672327748228,150.83970642089844,10913687,0.0,0,99622362.94914912,177050753,0.16379503991468114,16859653.59499368,79.52445124733116,98.21054868316736,14.75157252185107,362132.77971335116,1173.3984174163115,143.59309311497955,3.4347188780843254,142.92078323364257,151.3833847228405,134.45818174444463,11.842366516230927,0.9678775904409511,0.0,0.0,144.8139542363952,148.3463650681506,141.28154340463993,4.878550344656701,1.352923466649667,1.0,0.0,136.2991704798373,150.83970642089844,143.56943845036787,10.17384288839973,1.0,3.180856449627486,2.813936660061813,2.257387218078174,0.556549441983639,144.3777224222819,142.68061006986179,145.40573085692245,142.59179419686063,23.288152822208286,29.08682934409046,17.53291698555938,1.1827594210068462,0.8105178514079833,0.3722415695988629,0.21286759795951343,25.099082035081633,122.51672692768065,-2.3770057678222543,46.808311958594096,36.57390283724688,10.23440912134722,143.80524655266288,143.56943845036787,143.6873425015154,139.0497024327347,136.3777558946386,125.43217223926581,100.0,44.0,56.0,100.0,67.65710954242681,1.0,0.7697665391643529,0.7679819968118967,23.566490564431902,65.89193613690883,100.0,83.71505454723281,-0.0,5.800215563547226,145.0209197681898,9.593655308447511,-1.1165185260119983,3.6004675545545526,-4.716986080566551
2019-04-12,150.23793692649576,150.87981040062658,149.03442875351982,150.71934509277344,9388360,0.0,0,107377991.76858483,167662393,0.16111681165232558,14289703.727349496,83.5433102990478,26.41587157176555,19.445646760765992,309107.0805145516,1172.4621136055237,144.13372049581196,3.2757851549865693,143.23501739501953,152.3413777680868,134.12865702195225,12.715271082005561,0.9109395736132603,0.0,0.0,145.95493374527499,149.17667788580107,142.73318960474901,4.414710839646864,1.2394149162199595,1.0,0.0,136.2991704798373,150.87981040062658,143.58949044023194,10.179521869696279,0.988994632010331,2.866161577572856,3.029374966164994,2.411784767695538,0.6175901984694558,145.22568639119467,143.0387226985051,146.22320997013028,143.1938350039653,23.405364196110106,28.01029195912184,16.831605174316785,1.249471299328636,0.755457984671104,0.49401331465753207,0.22786909548691067,25.109035603365356,122.37076127258652,-3.202165222167963,52.751550593927846,38.44029652967279,14.311254064255053,143.82529854252695,143.58949044023194,143.70739449137943,139.06975442259878,136.3777558946386,125.43217223926581,96.0,40.0,56.0,100.0,67.31787834123503,0.9824966296887425,0.8910028274420997,0.8020774583259032,25.298702883945122,62.11019216999001,98.86267603569972,92.55383742405401,-1.1373239643002804,5.573316012935749,146.265451236799,7.240140979864998,-3.7172903710926035,2.1369159694251216,-5.854206340517726
2019-04-15,150.6792394237811,152.36414367371924,150.0774852825062,152.16355895996094,10626013,0.0,0,116139785.97299437,178288406,0.1837928601107621,14440636.813087376,83.38665308901119,27.194005403486262,15.703368487667388,94328.57813330673,1172.4621136055237,144.8523875009371,3.1768724786092175,143.63718185424804,153.54000421835667,133.7343594901394,13.788661454187054,0.930502375596251,0.0,0.0,147.22044158773562,150.48613193224654,143.95475124322482,4.436463183089529,1.2568257934396485,1.0,0.0,136.2991704798373,152.36414367371924,144.33165707677827,11.184411296918537,0.9875141582038436,2.4838249130172407,3.278850814013907,2.585197976959212,0.693652837054695,146.23657862345377,143.47505716177133,147.13710981471962,143.85825900070571,23.89881497738458,29.88023468541266,15.978704761576324,1.2599282914191965,0.7887212400142263,0.4712070514049702,0.24495832068483825,25.087959189937454,126.1744747538541,-5.726628875732416,59.29267332818691,41.80894602364621,17.4837273045407,146.96488504079161,144.33165707677827,145.64827105878493,139.8119210591451,137.03606811342905,125.43217223926581,100.0,36.0,64.0,100.0,69.30652503720701,1.0,0.9941655432295807,0.8849783032786777,27.362601449180662,64.28310185940033,98.71365278242493,99.19210960604157,-1.286347217575063,5.707976814140579,147.57959585189667,8.662757773537072,-5.060028341105855,0.6975271073189264,-5.757555448424781
2019-04-16,152.28392308460226,153.046142578125,150.79959124770028,153.046142578125,10427023,0.0,0,126566808.97299437,188715429,0.1945872382770556,13692362.937792022,83.25211290513883,15.126051140653333,17.33326084057597,162299.07448206662,1179.2626633656573,145.5572161246639,3.083840363790768,144.0186279296875,154.72170630931546,133.31554955005956,14.863463891425752,0.9217251489823851,0.0,0.0,148.49797848138118,151.57565348186947,145.42030348089298,4.145073262225079,1.2388960978696997,1.0,0.0,136.2991704798373,153.046142578125,144.67265652898115,11.628337485942355,1.0,2.316707076923891,3.5073488089170155,2.769628143350773,0.7377206655662425,147.49787775675455,143.9801037128155,148.04619177832046,144.53884296940345,24.527623243959056,29.904525136167127,15.165625548372997,1.2799698859324737,0.7499213941795554,0.5300484917529183,0.2633834646167495,25.01756242412343,121.8308518155583,-5.125546264648449,65.15154726812577,45.76469232463776,19.38685494348801,148.87398478982544,144.67265652898115,146.77332065940328,140.152920511348,138.03826917737007,125.43217223926581,100.0,32.0,68.0,100.0,70.48834151765261,1.0,0.9941655432295807,0.9597779713004203,29.420729913925936,68.98304166012345,100.0,99.19210960604157,-0.0,6.269872916989726,148.7373942297342,10.974932137330542,-6.2275682980050515,-0.6874919737458692,-5.540076324259182
2019-04-17,153.2467225349472,153.68801135728282,151.0804100576044,151.36122131347656,13174552,0.0,0,116229778.5627629,175540877,0.2014318252254793,8565156.401390791,76.88919079712561,9.131245436031067,16.495615306045636,-84562.63597026892,1179.2626633656573,146.23940368369378,3.036216457379532,144.56736068725587,155.58987479370077,133.54484658081097,15.248966369788025,0.808181081040681,0.0,0.0,149.18153936068433,151.97367763485653,146.38940108651218,3.7432758585785466,0.8903248583629781,0.0,0.0,136.2991704798373,153.68801135728282,144.99359091856007,12.028192805610518,0.866190618442874,2.1152821742849133,3.5119919939669444,2.9181009134740075,0.5938910804929369,148.53688939412436,144.3009285560021,148.55619632219063,145.04420432822369,25.272900212550677,29.58821562599594,14.258682118439925,1.241912817184869,0.7446889191340867,0.49722389805078226,0.2789725673830016,24.955703794842865,104.81074302649567,-3.6698692321777457,67.0444727434562,49.639164407422655,17.405308336033542,149.19491917940434,144.99359091856007,147.0942550489822,140.47385490092688,139.2959280312876,125.43217223926581,96.0,28.000000000000004,68.0,100.0,65.31771247397211,0.7651128938198662,0.9217042979399555,0.9700117947997056,29.646215142558212,65.28316991125543,86.24602977851502,94.98656085364667,-13.753970221484984,7.169941801663384,148.90180653484174,8.97678955565709,-5.36143656848081,-1.6222808926928576,-3.739155675787953
2019-04-18,152.4443776802739,153.08625119273464,150.79958063044293,152.4844970703125,8027971,0.0,0,120032510.71673179,183568848,0.21712862966960444,8629794.801318102,83.96798306662848,-12.569749180381532,18.316856797481698,-85464.91332380104,1188.0141596155258,147.10479522160833,2.961261867870749,145.25086059570313,156.4555138559992,134.04620733540708,15.428002580285593,0.8227960877755104,0.0,0.0,149.63084931384398,152.28659023492372,146.9751083927643,3.5497237812363336,1.0372601924039182,1.0,0.0,136.2991704798373,153.68801135728282,144.99359091856007,11.971592323880468,0.9307881246684271,1.6064301424124885,3.565213159506186,3.0475233626804434,0.5176897968257426,149.5024731953939,144.66797814002405,149.16055028344016,145.59533712393397,25.814825092956145,28.006508967724425,14.152968520564633,1.3145366207855915,0.7465416853754064,0.5679949354101851,0.2929476371235843,24.88828257842025,97.3727089415247,1.7777343749999943,68.96705435349546,53.40021988643153,15.566834467063927,149.19491917940434,144.99359091856007,147.0942550489822,140.47385490092688,139.37452987097834,125.43217223926581,92.0,24.0,68.0,100.0,67.05285568335576,0.8250267914414713,0.8633798950871125,0.9264165787522162,30.344918675185017,73.70234000963195,92.88586449465666,93.04396475772391,-7.114135505343348,7.553208595544874,149.1134666788052,8.22371320849855,-7.935599170486247,-2.8849445482515357,-5.0506546222347115
2019-04-23,152.7653341802528,153.36708840455958,150.91996435322227,152.92581176757812,13134604,0.0,0,128430130.60018423,196703452,0.2757316388998228,8225037.513696069,83.75641139364535,3.737598023397485,18.87130875621691,97590.51253843756,1188.0141596155258,148.19351682493618,2.9098480862174054,146.0389617919922,157.073483378986,135.0044402049984,15.111750250197773,0.8120592914378517,0.0,0.0,150.07882329197534,152.81880884010735,147.33883774384338,3.6513952975249495,1.0195261846442445,1.0,0.0,136.2991704798373,153.68801135728282,144.99359091856007,11.906987466956236,0.9561673147119705,1.0692512310560223,3.6014860353144513,3.1583158972072454,0.44317013810720596,149.9939079284668,145.04293236365686,149.73982128099985,146.1383352456854,26.39714151154858,27.047196204326866,13.33162056513723,1.286672947675811,0.6993469553674603,0.5873259923083507,0.3052152290328534,24.902461307103525,93.96177903244599,2.3536010742187443,72.75095907841833,57.21321205240602,15.537747026012312,149.19491917940434,144.99359091856007,147.0942550489822,140.47385490092688,139.37452987097834,125.43217223926581,88.0,20.0,68.0,100.0,67.73581522278974,0.8178143073937798,0.802651330885039,0.8625785079707023,31.114018658844994,74.93134996967581,95.49453527724509,91.54214318347226,-4.505464722754903,7.690356374145807,149.45904121915146,4.010931885766899,-6.573299455835395,-3.6226155297683076,-2.950683926067087
2019-04-24,153.2868296807954,154.61068379932286,151.16062452220717,154.2496337890625,11083123,0.0,0,137193547.559532,207786575,0.2898624253284044,9146043.91091377,83.65123959618073,23.10165499976844,20.607214054278277,133956.14404231735,1198.2983574769341,149.10528980047442,2.9638692053072333,146.85591583251954,157.78110837074925,135.93072329428983,14.878791196521144,0.838379297695243,0.0,0.0,150.61638838723343,153.41655053759672,147.81622623687022,3.7182702099642126,1.1487562517330843,1.0,0.0,136.77078668442732,154.61068379932286,145.69073524187507,12.147891362606652,0.9797616540087053,0.6732552368617413,3.6944664151081383,3.265546000787424,0.42892041432071437,150.48199717203775,145.42043128380408,150.43363858993257,146.73917217482443,27.28180340450668,27.775861262407453,12.252066859164342,1.324879069466772,0.6911413880625172,0.6337376814042548,0.31697702793157106,24.960677153022782,101.24938227188535,0.7744400024413949,76.69135702890077,61.296275661574526,15.395081367326242,149.917010472076,145.4549271395801,147.68596880582805,140.9351911219469,139.37452987097834,125.96275020022557,100.0,16.0,84.0,100.0,69.76076340273815,0.9320178294523417,0.8582863094291975,0.8414391784671164,32.353993651500076,72.67213813883401,97.23228499939945,95.2042282571004,-2.767715000600534,7.747023060022315,149.96348057837858,3.9470110965953404,-6.775802348832771,-4.2532528935812,-2.5225494552515713
2019-04-25,149.2350246870355,150.79958298117833,142.5354904558793,145.9855499267578,28199676,0.0,0,132539241.8374343,179586899,0.3022069716451408,-25452603.41261974,69.80387539265132,-182.22584499132395,-1.2221693156118707,-1414884.3593660898,1198.2983574769341,149.20335282554603,3.8388966180948287,147.27342147827147,157.363547818683,137.18329513785994,13.702576118801197,0.43618159435944515,0.0,0.0,150.60836330647527,153.79364830982624,147.4230783031244,4.229891266886856,-0.22565145267288858,0.0,1.0,136.77078668442732,154.61068379932286,145.69073524187507,12.113453286971817,0.5165255821255026,1.582261772635401,3.06596895253918,3.2256305911377754,-0.1596616385985956,150.34493001302084,145.49217282808743,149.74931725713645,146.68334830459727,26.058330704452892,21.430433275417947,26.273947607591484,0.9632344944858331,0.848993466173202,0.11424102831263105,0.3158639065334373,25.366280494935943,-8.152690509929474,0.758103179931652,76.48609094908517,65.10489081135448,11.381200137730687,148.57308712760107,145.4549271395801,147.01400713359058,140.9351911219469,139.29592417216912,126.8470425547201,96.0,12.0,84.0,53.02773668366226,49.06052971082219,0.0,0.583277378948707,0.7480716730876478,26.186988696583157,56.05018444308307,28.571463601050954,73.76609462589849,-71.42853639894905,6.6221925153220695,149.94307160741567,-1.1141380096935403,3.550799262363491,-2.692442462392262,6.2432417247557535
2019-04-26,146.0657952824216,147.5902342545145,145.30357579637513,146.4669647216797,12192096,0.0,0,132753152.00084834,191778995,0.2771364422594976,-20978023.582887232,65.86999002970538,-4.138003236885155,-3.7292090373409366,-1470621.115093693,1202.2499715805864,149.3265159748531,3.6836728020992844,147.56958084106446,157.1889498892907,137.95021179283822,13.03706223654116,0.44268771091654435,0.0,0.0,150.62039870268424,153.83777677128654,147.40302063408208,4.272167775831139,-0.14546874698021717,0.0,1.0,136.77078668442732,154.61068379932286,145.69073524187507,12.08914263577768,0.5435108719969288,2.0789218963197613,2.577020052941407,3.0959084834985022,-0.5188884305570953,150.21455001831055,145.5325475839468,149.24433994398925,146.66731989104784,24.922248911545807,20.448395759512163,25.069958779647706,0.9386873442765409,0.9576856610976529,-0.01899831682111197,0.3062837939835119,25.42769801597771,-14.708186141623152,-1.824723052978527,73.06124025882117,68.02188284471305,5.0393574141081245,148.57308712760107,145.4549271395801,147.01400713359058,140.9351911219469,139.35488180213576,126.8470425547201,92.0,8.0,84.0,26.51386834183113,49.991460924026704,0.04344499669853216,0.3251542753836245,0.5889059879205095,21.7798449047759,53.40834051692229,32.55827177239397,52.78734012428145,-67.44172822760603,5.2969442871995795,149.92693367229006,-1.0569099657224519,2.0238324139060264,-1.7491874871326045,3.773019901038631
