Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_adi,volume_obv,volume_vpt,volume_nvi,volatility_atr,volatility_bbhi,volatility_bbli,volatility_kch,volatility_kcl,volatility_kcp,volatility_kchi,volatility_kcli,trend_adx,trend_adx_pos,trend_adx_neg,trend_ichimoku_b,trend_visual_ichimoku_b,trend_psar_up_indicator,trend_psar_down_indicator,others_dr,others_cr
2016-06-05,573.3079833984375,582.8079833984375,569.177978515625,574.9769897460938,68874096,0,0,-10267857.832612375,68874096,-10224694.950245865,1000.0,0.0,0.0,0.0,589.2843221028646,562.0243123372396,0.4751530729525826,0.0,0.0,0.0,0.0,0.0,575.9929809570312,9582.953729298351,0.0,0.0,-94.31308209978727,0.0
2016-06-06,574.6019897460938,586.469970703125,574.6019897460938,585.5369873046875,72138896,0,0,50528857.45555652,141012992,-63632383.485258274,1000.0,0.0,0.0,0.0,591.6776428222656,566.1796569824219,0.7591709574180329,0.0,0.0,0.0,0.0,0.0,577.823974609375,9582.953729298351,0.0,0.0,1.8365948110822705,1.8365948110822705
2016-06-07,585.4450073242188,590.2589721679688,567.5139770507812,576.5969848632812,107770000,0,0,28832804.44123224,33242992,-320537.5048954503,1000.0,0.0,0.0,0.0,594.741197374132,562.5792100694445,0.4358491489048548,0.0,0.0,0.0,0.0,0.0,578.886474609375,9582.953729298351,0.0,1.0,-1.5268040508522596,0.28174955625666076
2016-06-08,577.1669921875,582.8389892578125,573.1300048828125,581.64501953125,80265800,0,0,89357109.02280536,113508792,-942719.6603237845,1008.7548752430014,0.0,0.0,0.0,593.2843119303386,564.308329264323,0.5983124184865103,0.0,0.0,0.0,0.0,0.0,578.886474609375,9582.953729298351,1.0,0.0,0.8754875243001337,1.1597037627715912
2016-06-09,582.2030029296875,582.2030029296875,570.9509887695312,574.6300048828125,71301000,0,0,64681988.47147178,42207792,-157219.05151425058,996.58863984359,0.0,0.0,0.0,592.0634521484376,564.3818603515626,0.37021514537349703,0.0,0.0,0.0,0.0,0.0,578.886474609375,9582.953729298351,0.0,0.0,-1.2060645948779758,-0.060347608594646385
2016-06-10,575.8369750976562,579.1270141601562,573.3250122070312,577.469970703125,66991900,0,0,93408306.87879348,109199692,-528845.3198965711,1001.5140312259017,0.0,0.0,0.0,590.4599880642362,565.457994249132,0.4804407417594172,0.0,0.0,0.0,0.0,0.0,578.886474609375,9582.953729298351,0.0,0.0,0.494225118107372,0.4335792564728713
2016-06-11,578.6740112304688,607.1160278320312,578.6740112304688,606.7269897460938,82357000,0,0,173512301.3980362,191556692,4503637.318040208,1001.5140312259017,0.0,0.0,0.0,595.5296601795015,565.9730893089658,1.3788440010730252,1.0,0.0,0.0,0.0,0.0,587.3150024414062,9582.953729298351,0.0,0.0,5.066413930986835,5.521960107311519
2016-06-12,609.6840209960938,684.843994140625,607.0390014648438,672.7839965820312,277084992,0,0,364699352.6073255,468641684,34339995.01117851,1001.5140312259017,0.0,0.0,0.0,612.6752014160156,567.3619537353516,2.326517039555853,1.0,0.0,0.0,0.0,0.0,626.1789855957031,9582.953729298351,0.0,0.0,10.887435032943138,17.01059495948325
2016-06-13,671.6539916992188,716.0040283203125,664.4869995117188,704.3759765625,243295008,0,0,498164775.67716813,711936692,41591874.54822421,1048.5422176652166,0.0,0.0,0.0,627.5415898075811,575.8149188006366,2.485392066785115,1.0,0.0,0.0,0.0,0.0,641.7590026855469,9582.953729298351,0.0,0.0,4.695709193584663,22.505072224463806
2016-06-14,704.5040283203125,704.5040283203125,662.8040161132812,685.5590209960938,186694000,0,0,515222412.99086094,525242692,6437014.761655007,1020.5310801820848,27.5986083984375,0.0,0.0,637.3863342285156,582.4923278808594,1.8775582248905218,1.0,0.0,0.0,0.0,0.0,641.7590026855469,9582.953729298351,0.0,0.0,-2.6714363056839163,19.23242724875518
2016-06-15,685.6849975585938,696.302978515625,672.5609741210938,694.468994140625,99223800,0,0,599116850.245899,624466492,-3697833.9352528034,1033.7945691583807,27.21294799804688,0.0,0.0,649.6098673502604,592.6934611002605,1.7881581031895293,1.0,0.0,0.0,0.0,0.0,641.7590026855469,9582.953729298351,0.0,0.0,1.2996653638348121,20.782049808166782
2016-06-16,696.5230102539062,773.7219848632812,696.5230102539062,766.3079833984375,271633984,0,0,818576701.999516,896100476,29388615.652803622,1033.7945691583807,32.41695227050782,0.0,0.0,672.474434407552,602.4918294270833,2.340812463569671,1.0,0.0,0.0,0.0,0.0,670.6179809570312,9582.953729298351,0.0,0.0,10.34444876069811,33.27628706269348
2016-06-17,768.4869995117188,775.3560180664062,716.5560302734375,748.9089965820312,363320992,0,0,855069119.9875519,532779484,19849852.211146574,1033.7945691583807,35.055255822753914,0.0,0.0,692.9616373697917,615.7680338541667,1.7247667768342372,1.0,0.0,0.0,0.0,0.0,671.4349975585938,9582.953729298351,0.0,0.0,-2.270495309111209,30.250255216777422
2016-06-18,748.7559814453125,777.989990234375,733.9290161132812,756.2269897460938,252718000,0,0,858137534.7431605,785497484,-5779742.389786374,1043.8963326899627,35.9558276525879,0.0,0.0,714.0812357584635,630.0172342936198,1.5013531744055262,1.0,0.0,0.0,0.0,0.0,672.7519836425781,9582.953729298351,0.0,0.0,0.9771538594757656,31.52300061260518
2016-06-19,756.68798828125,766.6209716796875,745.6279907226562,763.781005859375,136184992,0,0,957475856.581247,921682476,3829807.229453436,1054.323902486675,34.459542983032236,0.0,0.0,733.3301981608073,647.3180033365886,1.3540289578797446,1.0,0.0,0.0,0.0,0.0,672.7519836425781,9582.953729298351,0.0,0.0,0.9989085573125944,32.83679512055882
2016-06-20,763.927001953125,764.083984375,732.7269897460938,737.2260131835938,174511008,0,0,833041657.5602543,747171468,-4707001.980483333,1054.323902486675,34.149288147619636,0.0,0.0,752.689530436198,661.566337076823,0.8303009729738221,0.0,0.0,0.0,42.4927387772274,4.750407034169539,672.7519836425781,9582.953729298351,0.0,0.0,-3.4767809715171794,28.218350704633966
2016-06-21,735.8829956054688,735.8829956054688,639.0700073242188,666.6519775390625,309944000,0,0,699703427.6751969,437227468,-35738047.9323957,1054.323902486675,40.549959918795174,0.0,0.0,767.8295593261719,663.0321716308594,0.03454099370040936,0.0,0.0,0.0,34.89665317367095,20.958048416286648,672.7519836425781,9582.953729298351,0.0,1.0,-9.572917176344397,15.944114186804569
2016-06-22,665.9149780273438,678.6699829101562,587.4829711914062,596.1160278320312,266392992,0,0,483751518.1331864,170834476,-57856727.48469432,942.7698378977592,45.61366509879066,0.0,0.0,765.7544942220052,658.2807027180991,-0.5784170635108602,0.0,1.0,0.0,29.602419305312687,26.361224680270034,672.7519836425781,9582.953729298351,0.0,0.0,-10.580625586293745,3.6765015753538854
2016-06-23,597.4429931640625,629.3270263671875,558.1389770507812,623.9769897460938,253462000,0,0,699116365.729738,424296476,-16339869.49682614,986.8325258998296,48.17110352055222,0.0,0.0,758.607462565104,647.1994669596354,-0.2084453372249859,0.0,1.0,0.0,26.253769002569914,28.042106234738895,668.0644836425781,9582.953729298351,0.0,0.0,4.673748165334168,8.522080165614643
2016-06-24,625.5750122070312,681.7269897460938,625.27197265625,665.2990112304688,224316992,0,0,792884297.0713694,648613468,26701261.122935705,1052.1841582625968,49.128993168497,0.0,0.0,757.3973266601562,643.0383300781251,0.19465614265315614,0.0,0.0,0.0,32.05315905132986,25.52005567992562,668.0644836425781,9582.953729298351,0.0,0.0,6.62236302995558,15.70880628184106
2016-06-25,665.281005859375,691.7310180664062,646.5590209960938,665.1229858398438,126656000,0,0,770329850.4116027,521957468,14821574.793555435,1051.9057704635152,48.73329355867855,0.0,0.0,757.5429951985676,638.8980000813802,0.22103743805257617,0.0,0.0,0.0,31.355480390042473,23.722795282476973,668.0644836425781,9582.953729298351,0.0,0.0,-0.026458086913350165,15.678191945308617
2016-06-26,665.9310302734375,665.97998046875,616.9340209960938,629.3670043945312,109225000,0,0,716481180.1356214,412732468,-5905277.5653755,995.3569456421652,48.76456015007632,0.0,0.0,743.9186279296874,630.9042358398439,-0.013602085689144386,0.0,1.0,0.0,28.969895157790077,26.513459960790076,668.0644836425781,9582.953729298351,0.0,0.0,-5.375845100310849,9.459511531488562
2016-06-27,629.3489990234375,655.2750244140625,620.5239868164062,655.2750244140625,122134000,0,0,838615180.1356214,534866468,-844096.0003475482,995.3569456421652,47.36320789483431,0.0,0.0,731.1888326009114,622.9842305501303,0.29842347970355215,0.0,0.0,0.0,27.380360971055616,25.058706645779942,668.0644836425781,9582.953729298351,0.0,0.0,4.116520224071096,13.9654344608517
2016-06-28,658.1019897460938,659.2479858398438,637.7730102539062,647.0009765625,138384992,0,0,819160432.1939424,396481476,3280306.7219761387,995.3569456421652,44.77438466394463,0.0,0.0,718.1260986328124,614.4386962890626,0.3140427818365559,0.0,0.0,0.0,27.067532113164106,24.175920411217394,668.0644836425781,9582.953729298351,0.0,0.0,-1.2626832312067848,12.526412030542588
2016-06-29,644.1220092773438,644.6820068359375,628.2839965820312,639.8900146484375,142456000,0,0,878356569.7481456,254025476,-3313048.263825055,995.3569456421652,42.16864419559704,0.0,0.0,705.5608032226562,602.7923950195313,0.36098272102825213,0.0,0.0,0.0,26.20115857992827,25.02481451678065,668.0644836425781,9582.953729298351,0.0,0.0,-1.0990650975278071,11.289673510414545
2016-06-30,640.5910034179688,675.4030151367188,636.6079711914062,673.3369750976562,138980000,0,0,1002533738.4878603,393005476,5698780.743353941,1047.3841122358485,41.83128417056859,0.0,0.0,698.0149739583333,593.7589558919271,0.763294250841632,0.0,0.0,0.0,29.73444570396427,23.356100166518452,668.0644836425781,9582.953729298351,0.0,0.0,5.226985838745257,17.106768984789756
2016-07-01,672.5150146484375,686.1539916992188,669.593994140625,676.2960205078125,134431008,0,0,976914360.0784751,527436484,7855235.174765929,1051.986944494589,39.30415550937111,0.0,0.0,689.6709757486979,601.465555826823,0.8483658345175183,0.0,0.0,0.0,30.780967828703716,22.661447846088905,668.0644836425781,575.9929809570312,1.0,0.0,0.43945981278201707,17.62140617252537
2016-07-02,676.7340087890625,703.7020263671875,676.3989868164062,703.7020263671875,112354000,0,0,1089268360.078475,639790484,5143768.187386244,1094.617330435876,38.1143405443715,0.0,0.0,690.6670471191405,615.2384216308594,1.1728121010248573,1.0,0.0,21.00012121137997,32.45469009809355,21.520689875358777,668.0644836425781,577.823974609375,0.0,0.0,4.052368345860824,22.38785880421719
2016-07-03,704.968017578125,704.968017578125,649.0089721679688,658.6640014648438,129512000,0,0,1004447692.6461291,510278484,-3735971.6362009747,1094.617330435876,39.89881103094997,0.0,0.0,695.8507466634113,623.4679219563802,0.48624904666154406,0.0,0.0,20.163489357437417,29.220250618444105,24.253954040694616,668.0644836425781,578.886474609375,0.0,0.0,-6.400155636164562,14.554845360977954
2016-07-04,658.8040161132812,683.6619873046875,650.5079956054688,683.6619873046875,92008400,0,0,1096456092.6461291,602286884,-4797015.133637981,1136.160861683111,39.224329097776845,0.0,0.0,695.0384440104165,627.3158243815104,0.8320139302338335,0.0,0.0,19.386616921633614,27.473292538210252,22.803910317857174,668.0644836425781,578.886474609375,0.0,0.0,3.7952561221273884,18.902495142734033
2016-07-05,683.208984375,683.4910278320312,665.0659790039062,670.6270141601562,130476000,0,0,1044740440.0205477,471810884,1004246.7836172632,1136.160861683111,37.161497018077284,0.0,0.0,692.8894490559894,630.5162190755209,0.6430770876735997,0.0,0.0,18.665235374101513,26.515722384791367,22.009089534318004,668.0644836425781,578.886474609375,0.0,0.0,-1.906640033610929,16.63545256938037
2016-07-06,670.4180297851562,681.8980102539062,670.4180297851562,677.3309936523438,134960992,0,0,1072319874.5858151,606771876,-1138558.7142448789,1136.160861683111,34.59334536314456,0.0,0.0,693.0450520833332,638.1850179036459,0.7135609070253225,0.0,0.0,17.995381079964563,25.915211681851712,21.510642098660135,668.0644836425781,578.886474609375,0.0,0.0,0.9996584316817492,17.80140870532034
2016-07-07,678.0900268554688,682.4320068359375,611.833984375,640.56201171875,258091008,0,0,1024275700.0959882,348680868,-12661347.703460624,1136.160861683111,38.19381307292385,0.0,0.0,696.7548828124999,634.7254516601563,0.09409339970020325,0.0,0.0,17.669389574063143,22.535223181415258,29.52810974158569,668.0644836425781,587.3150024414062,0.0,0.0,-5.428510178653701,11.406547243154574
2016-07-08,640.68798828125,666.7069702148438,636.4669799804688,666.5230102539062,141970000,0,0,1164518398.2382905,490650868,-8256669.695929002,1182.2077235422994,37.39843078906897,0.0,0.0,698.487217203776,634.7047831217449,0.4988556424679509,0.0,0.0,17.366683175726113,21.256362587311894,27.85240696895835,668.0644836425781,626.1789855957031,0.0,0.0,4.052847040600782,15.92168419613429
2016-07-09,666.3839721679688,666.3839721679688,633.3989868164062,650.9600219726562,180536000,0,0,1176215258.6854193,310114868,1538399.105163049,1182.2077235422994,36.970990053912075,0.0,0.0,701.4088134765625,634.3089843750001,0.2481532042719973,0.0,0.0,17.16269656708988,19.92267211254447,26.68599559794841,668.0644836425781,641.7590026855469,0.0,0.0,-2.334951388298123,13.214969221658102
